id,task_id,lang,category,type,topic,complexity,image,task,choices,correct_answer,user_answers
1,ieuj1Y1sJmL8F7sa,en,vqa,numeric,animals,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_9w2qky82aobuq0bh.png,how many things are cats or small metal objects?,"{'a': '2', 'b': '1'}",a,"['a', 'a', 'a']"
2,qFGcRIik8WSiQRs8,en,vqa,true-false,construction-site,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_ft20ryxfp3ujla1c.png,are there any bulldozers?,"{'a': 'False', 'b': 'True'}",b,"['a', 'b', 'a', 'b', 'a', 'a']"
3,TD1RbT5k5ibhiTsL,en,vqa,numeric,fashion,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_wy7tk9mvmfz94clh.png,how many other things are there of the same color as the large metal shirt?,"{'a': '1', 'b': '3'}",a,"['b', 'b', 'a', 'b', 'a', 'a', 'a']"
4,d63Y3lEWODmdVuoT,en,vqa,mcq,garage-workshop,4,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_hwtiqcx99ch72sqf.png,the large object has what shape?,"{'a': 'tire', 'b': 'hammer', 'c': 'wrench'}",a,"['a', 'b', 'b', 'a', 'a']"
5,IimSdLpaaRcYycDE,en,vqa,true-false,kitchen,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_z2lug1tdeenibh1l.png,are there any tiny metal objects that have the same color as the rubber fork?,"{'a': 'True', 'b': 'False'}",a,"['a', 'b']"
6,78zBJI5PgaM5agEc,en,vqa,true-false,living-room,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_04k28euxu8qdwgxs.png,is there another sofa that has the same size as the sofa?,"{'a': 'True', 'b': 'False'}",b,"['b', 'a']"
7,iyTuyclMF5CYrHKG,en,vqa,true-false,medical-field,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_mzmlv0c7ix7d751y.png,are there any large red hospital beds?,"{'a': 'False', 'b': 'True'}",a,['b']
8,lzFLJKYszxokgk0l,en,vqa,true-false,music,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_z9staezxvj8i3v7t.png,are there any big gray metal objects that have the same shape as the tiny gray rubber thing?,"{'a': 'False', 'b': 'True'}",a,"['b', 'b', 'a', 'b']"
9,THBDwrtzyPBtzNRD,en,vqa,true-false,office,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_icfbllrdi7px3fjg.png,is the number of rubber coffee mugs less than the number of yellow metal calculators?,"{'a': 'False', 'b': 'True'}",a,"['a', 'a', 'a', 'a', 'a']"
10,vPdInsRFZKt3niUx,en,vqa,true-false,school,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_0wewpthtkhkuggf0.png,is the number of metal notebooks greater than the number of small yellow rubber pencils?,"{'a': 'False', 'b': 'True'}",b,"['a', 'a', 'b']"
11,OuSOFHcNH2NIK3A9,en,vqa,true-false,uae,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_v2qc7niy0olytk6f.png,do the blue thing and the brown metal falcon stand have the same size?,"{'a': 'True', 'b': 'False'}",b,['b']
12,AI9gHH5z9pY0KDsA,en,vqa,true-false,underwater,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_865i3gamhs7qpgfc.png,is there anything else that is the same color as the small rubber fish?,"{'a': 'False', 'b': 'True'}",b,['b']
13,50dyq0C8e9zqN7im,en,vqa,mcq,kitchen,4,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_xsuiwtc2xtfevecw.png,what color is the tiny object that is the same material as the spatula?,"{'a': 'brown', 'b': 'green', 'c': 'gray'}",b,"['a', 'a', 'b', 'a']"
14,2GlRfyNHpppIk7da,en,vqa,true-false,uae,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_xp1tzjaw7fageql7.png,is there a red rubber falcon that has the same size as the green thing?,"{'a': 'True', 'b': 'False'}",b,"['b', 'a', 'b', 'a']"
15,U2Elt6s0Ybc5LFyb,en,vqa,numeric,uae,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_ouk487gj0pjujlmz.png,what number of large objects are either metal bedouin tents or camels?,"{'a': '2', 'b': '1'}",a,"['a', 'a']"
16,5bG79IkAdL0kFhZk,en,vqa,numeric,animals,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_aontvm7wys96yg5m.png,how many large gray metal things have the same shape as the green rubber thing?,"{'a': '0', 'b': '1'}",b,"['b', 'a']"
17,iqPXyxIgIgTG9E4T,en,vqa,true-false,construction-site,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_e43g9k4l8sn6uix3.png,is there anything else that has the same size as the cyan metal object?,"{'a': 'True', 'b': 'False'}",a,"['a', 'b', 'b', 'a']"
18,yUUQZAPGWMALzJfw,en,vqa,numeric,fashion,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_be17lmszb88pdr1g.png,how many large objects are either purple things or objects?,"{'a': '4', 'b': '5'}",a,"['a', 'b', 'a', 'a']"
19,Kffk4Al5dZePQQBm,en,vqa,mcq,garage-workshop,3,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_wvojeomnfkogh47g.png,there is another small thing that is the same shape as the cyan metal object; what is it made of?,"{'a': 'metal', 'b': 'rubber'}",b,"['b', 'a', 'a', 'a', 'b']"
20,VJUPBS1LI9yMCTwq,en,vqa,numeric,kitchen,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_4y9bqa3qmgkx6dil.png,how many small objects are the same color as the big rubber teapot?,"{'a': '1', 'b': '3'}",a,"['b', 'b']"
21,zzIa3kvncKTcZS8n,en,vqa,mcq,living-room,3,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_d2vjupwjjmayw566.png,there is a large red thing that is the same shape as the tiny metal thing; what material is it?,"{'a': 'metal', 'b': 'rubber'}",a,"['a', 'a', 'a']"
22,MJHnOaxcjS2HOroX,en,vqa,true-false,medical-field,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_9mx5b1ldd5g5sug9.png,is there anything else that has the same shape as the tiny brown rubber object?,"{'a': 'True', 'b': 'False'}",b,"['a', 'a', 'a']"
23,E7JLiqKVIRMrc25v,en,vqa,numeric,music,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_wd7iwm2r8vqkt0pp.png,what number of objects are tiny rubber violins or small things?,"{'a': '4', 'b': '5'}",a,"['a', 'b', 'a', 'b']"
24,MBDT5e0pzoobn2lK,en,vqa,mcq,office,3,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_6i9n42uqx0sevh7u.png,there is a gray thing that is the same shape as the small cyan thing; what material is it?,"{'a': 'metal', 'b': 'rubber'}",a,"['b', 'a', 'b', 'a']"
25,jm0nxKBSM9D7Drs8,en,vqa,true-false,school,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_yx9mafqfg1nigqpi.png,are there more green objects than tiny brown pencils?,"{'a': 'True', 'b': 'False'}",b,"['b', 'b', 'b', 'a', 'a']"
26,267QtuVEVQtsVjcC,en,vqa,mcq,uae,3,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_jhj6fcaist8q0pvf.png,what is the size of the green rubber thing that is the same shape as the tiny red metal object?,"{'a': 'small', 'b': 'large'}",b,"['a', 'a', 'b', 'a', 'a', 'a', 'b']"
27,U24Y1mbmZWHDOkrQ,en,vqa,mcq,underwater,3,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_1pp0rdye7dgzp7oy.png,there is a big blue object that is the same shape as the cyan thing; what material is it?,"{'a': 'rubber', 'b': 'metal'}",b,"['a', 'b', 'b', 'b', 'b']"
28,Q2raltTmhhSfg56m,en,vqa,mcq,uae,4,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_uuzl7zanouab0xlz.png,the small object that is the same shape as the large green metal object is what color?,"{'a': 'yellow', 'b': 'brown', 'c': 'purple', 'd': 'red', 'e': 'cyan'}",a,"['a', 'b', 'b', 'a', 'a']"
29,9OOzXJhdA5bkr43n,en,vqa,true-false,garage-workshop,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_zixh7hd2tmimg6bc.png,is the cyan metal object the same size as the metal hammer?,"{'a': 'True', 'b': 'False'}",b,['b']
30,PIZTcAZQBgMFFrCR,en,vqa,numeric,office,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_k1zmeph8lx8kqiif.png,what number of other things are there of the same material as the large yellow object,"{'a': '1', 'b': '0'}",a,"['a', 'a', 'b', 'b', 'a']"
31,T0wGYkm6znU6O2Xr,en,vqa,mcq,animals,4,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_j00rumhfn889bh0g.png,what shape is the cyan rubber object that is the same size as the gray rubber thing?,"{'a': 'dog', 'b': 'fish', 'c': 'bird', 'd': 'rabbit'}",d,"['a', 'd', 'd', 'd']"
32,L9DIZnu4IEKsrovc,en,vqa,true-false,construction-site,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_fkot1jp7wak8iqpo.png,are there more big blue rubber hard hats than big gray metal objects?,"{'a': 'True', 'b': 'False'}",a,"['a', 'a', 'a', 'a']"
33,oH6V0BD0GFb7S8zX,en,vqa,mcq,fashion,3,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_wzirt6dmwcoq1xca.png,what size is the purple rubber object that is the same shape as the small cyan rubber object?,"{'a': 'large', 'b': 'small'}",b,"['b', 'b']"
34,Gav7c7szdh4jguG6,en,vqa,numeric,garage-workshop,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_e2il4hgt8nhcsq7m.png,how many large wrenchs are there?,"{'a': '1', 'b': '0'}",b,"['a', 'b']"
35,34UaSsAyJUnrtjTY,en,vqa,mcq,kitchen,4,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_tp3gco8uaw24f4by.png,there is a gray thing that is made of the same material as the brown spatula; what is its shape?,"{'a': 'fork', 'b': 'saucepan', 'c': 'teapot', 'd': 'plate', 'e': 'spatula'}",c,"['a', 'a', 'c', 'c']"
36,6zq9zIQ7GLKwiJ54,en,vqa,numeric,living-room,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_q9u5fg7cdmsxrj7e.png,what number of bookshelfs are tiny yellow objects or blue metal things?,"{'a': '2', 'b': '1'}",b,"['a', 'b', 'b']"
37,2Qe2ccLbsjPYSHX9,en,vqa,true-false,medical-field,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_8s3n9bgecz3n1c7f.png,does the medicine bottle have the same material as the tiny blue hospital bed?,"{'a': 'False', 'b': 'True'}",b,"['b', 'a', 'b', 'b']"
38,ryUhPIHKavKqM7VS,en,vqa,mcq,music,3,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_x84sgz00sylo0l22.png,there is a red object that is the same shape as the purple rubber object; what material is it?,"{'a': 'rubber', 'b': 'metal'}",b,"['a', 'a', 'b', 'b', 'b']"
39,YaxS7Hk7st1cy5QL,en,vqa,mcq,office,4,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_2e0h2reet16qz1rb.png,what color is the other pen holder that is made of the same material as the red pen holder?,"{'a': 'blue', 'b': 'gray', 'c': 'red'}",a,"['a', 'a', 'a', 'b', 'a']"
40,JbnUuwNWsixnyYhH,en,vqa,true-false,school,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_k3u1yn0e26etx7z8.png,are there any other things that have the same size as the cyan metal pencil?,"{'a': 'True', 'b': 'False'}",a,"['b', 'a']"
41,pezjKTuCvB5oN42i,en,vqa,numeric,uae,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_268aj5gsokcfjlzz.png,how many dallahs are the same color as the metal bedouin tent?,"{'a': '2', 'b': '1'}",b,"['a', 'a', 'b', 'b']"
42,XEHlI90ViqBZ5gMw,en,vqa,numeric,underwater,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_w517ga2ldbg2q5ld.png,how many other things are there of the same color as the large metal fish?,"{'a': '2', 'b': '4'}",a,"['a', 'a', 'b', 'b']"
43,DmzRqDwJFcx90wOR,en,vqa,mcq,living-room,4,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_0d5fts8mqcof5rzb.png,there is a red object that is the same size as the blue rubber floor lamp; what shape is it?,"{'a': 'floor lamp', 'b': 'bookshelf', 'c': 'television', 'd': 'sofa'}",a,"['b', 'a']"
44,sn9GKetSJtmE3ij4,en,vqa,true-false,fashion,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_9gvggz7ssyyay9zi.png,is there a blue shoe that has the same material as the bag?,"{'a': 'False', 'b': 'True'}",a,"['a', 'b', 'a', 'a', 'a', 'a']"
45,eOuO0WGYF0r3ni0Z,en,vqa,numeric,garage-workshop,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_t64ywzkka6jg5s2y.png,how many things are the same size as the gray metal screwdriver?,"{'a': '5', 'b': '3'}",b,"['a', 'a', 'b']"
46,8UMUrWE8vGRsj5F8,en,vqa,true-false,animals,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_ptjd6nga13od2wep.png,are there any other purple fishes that have the same material as the purple fish?,"{'a': 'False', 'b': 'True'}",a,"['a', 'a', 'b', 'b', 'a']"
47,UEcyrWUINEUFoeDF,en,vqa,numeric,construction-site,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_a92l2zg06psmpb0t.png,what number of other objects are there of the same shape as the cyan metal thing?,"{'a': '1', 'b': '3'}",a,"['a', 'b']"
48,D2UozbFSOmzo2uhg,en,vqa,numeric,fashion,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_gal3v4ji1m7jbvq9.png,what number of other things are there of the same color as the tiny shirt?,"{'a': '2', 'b': '3'}",a,"['a', 'a']"
49,hG9ukyMLljJ1bYXL,en,vqa,true-false,garage-workshop,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_2co980grbl59gs8r.png,is there another object that has the same shape as the big blue thing?,"{'a': 'True', 'b': 'False'}",a,"['a', 'b', 'a', 'a', 'b', 'a', 'b']"
50,O7T5SVTdL14vAea5,en,vqa,mcq,kitchen,3,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_uwgns8vvx59qkfj7.png,there is a purple object that is the same size as the gray fork; what is its material?,"{'a': 'metal', 'b': 'rubber'}",a,"['a', 'a', 'b']"
51,GEEvT7h4d5yp9LIQ,en,vqa,true-false,living-room,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_mqww7qairam546f5.png,is the color of the tiny metal sofa the same as the big sofa?,"{'a': 'True', 'b': 'False'}",b,"['a', 'b', 'b']"
52,XZSbbMkbJB3oQJSI,en,vqa,numeric,medical-field,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_2i4ud1cj9uu3hstm.png,how many brown things are large things or rubber stethoscopes?,"{'a': '1', 'b': '2'}",a,"['b', 'b', 'b', 'a']"
53,2xuY9g0WfMzl7PBi,en,vqa,true-false,music,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_b53bw8u560jl0pha.png,is the number of blue metal violins less than the number of brown metal guitars?,"{'a': 'True', 'b': 'False'}",a,"['b', 'b', 'b', 'b', 'a']"
54,VWfurRoiBvXbVoa6,en,vqa,mcq,office,4,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_p5uo083ao28lo3lz.png,the yellow metal thing that is the same size as the blue calculator is what shape?,"{'a': 'calculator', 'b': 'chair', 'c': 'laptop'}",a,"['b', 'a']"
55,QevugEnIWrCtx3Pb,en,vqa,mcq,school,4,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_ubjwngw3cnkrgftz.png,there is a green metal thing that is the same size as the rubber backpack; what is its shape?,"{'a': 'pencil', 'b': 'ruler', 'c': 'backpack'}",b,"['b', 'a', 'a']"
56,AEfzzvANKynV1x7y,en,vqa,numeric,uae,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_z9ccpd9zwnh638xa.png,how many small green things have the same material as the large bedouin tent?,"{'a': '0', 'b': '1'}",b,"['a', 'a', 'b', 'a']"
57,D2uMsJ7mE4D3kN2d,en,vqa,mcq,underwater,3,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_cpho9jh2zzt83kim.png,there is a large snorkel that is the same color as the big metal turtle; what is it made of?,"{'a': 'metal', 'b': 'rubber'}",a,[]
58,BwSvTA9SsWwI7dA8,en,vqa,mcq,garage-workshop,4,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_0d50uuiff6aadvd3.png,the metal wrench that is the same size as the brown thing is what color?,"{'a': 'blue', 'b': 'cyan', 'c': 'green', 'd': 'brown', 'e': 'red'}",b,['a']
59,GpESLKn89pQWPErF,en,vqa,true-false,office,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_ymfazjfhxfa5fmts.png,is there another metal chair of the same color as the metal chair?,"{'a': 'True', 'b': 'False'}",b,"['b', 'b', 'a']"
60,zg81Hcbb2c88Wpht,en,vqa,numeric,school,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_p4c934qj56cv24ph.png,how many other objects are the same shape as the purple thing?,"{'a': '1', 'b': '0'}",b,"['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"
61,YBKIsQx09N19hv8k,en,vqa,numeric,animals,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_j5xq3vgorqw6dwd2.png,how many other things are the same shape as the gray metal object?,"{'a': '4', 'b': '3'}",b,"['a', 'b', 'b', 'a', 'b']"
62,5E5OO7M7CHjRuWn3,en,vqa,numeric,construction-site,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_t6hy6kzp8tmwqczy.png,what number of green things are big bulldozers or rubber objects?,"{'a': '3', 'b': '2'}",a,"['a', 'a', 'a', 'b']"
63,knd6N4vrMy2VkzS1,en,vqa,true-false,fashion,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_ooj7qsirykjih8po.png,is there any other thing that is the same color as the metal shoe?,"{'a': 'False', 'b': 'True'}",b,"['b', 'b', 'b', 'a']"
64,xbiwWcScqgFa5coU,en,vqa,mcq,garage-workshop,4,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_npx3lcr2ordmzhyu.png,what shape is the tiny green thing?,"{'a': 'screwdriver', 'b': 'hammer', 'c': 'mechanic overalls', 'd': 'wrench', 'e': 'tire'}",a,"['b', 'b', 'a']"
65,SvqJSSXLEv4BlyIm,en,vqa,numeric,kitchen,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_dxe35h9r54p0jomq.png,how many other things are there of the same material as the big blue thing?,"{'a': '2', 'b': '1'}",a,"['a', 'b', 'a']"
